Name,Weight Class,Height:,Weight:,Reach:,Age,Wins,Losses,Draws
Joe Riggs,Middleweight,6.0,185,70,37,41,17,0
Aaron Riley,Lightweight,5.67,155,69,38,29,14,1
Jordan Rinaldi,Lightweight,5.83,145,72,32,14,7,0
Nick Ring,Middleweight,6.0,185,74,40,13,3,0
Mike Rio,Lightweight,5.83,155,71,38,9,4,0
Diego Rivas,Bantamweight,5.67,145,69,27,7,2,0
Jorge Rivera,Middleweight,6.08,185,73,47,19,9,0
Francisco Rivera,Bantamweight,5.67,135,68,38,11,7,0
Jimmie Rivera,Bantamweight,5.33,135,68,30,22,4,0
Kali Robbins,Women's Strawweight,5.25,115,63,35,6,2,0
Karl Roberson,Middleweight,6.08,185,74,29,8,2,0
Daniel Roberts,Welterweight,5.83,170,74,39,12,4,0
Danny Roberts,Welterweight,6.08,170,74,32,16,5,0
Roosevelt Roberts,Lightweight,6.08,155,74,25,8,1,0
Kenny Robertson,Welterweight,5.83,170,74,35,15,5,0
Gillian Robertson,Women's Flyweight,5.42,125,63,24,7,4,0
Alvin Robinson,Lightweight,5.75,155,68,37,12,6,0
Vagner Rocha,Lightweight,5.83,155,73,37,11,4,0
Carlos Eduardo Rocha,Welterweight,5.83,170,70,38,9,2,0
Luke Rockhold,Middleweight,6.25,205,77,35,16,5,0
Bruno Korea,Bantamweight,5.5,135,65,28,4,2,0
Manuel Rodriguez,Welterweight,5.75,170,68,34,10,4,0
Yair Rodriguez,Featherweight,5.92,145,71,27,13,2,0
Mike Rodriguez,Light Heavyweight,6.33,205,82,30,10,3,0
Marina Rodriguez,Women's Strawweight,5.5,115,65,32,12,0,1
Daniel Rodriguez,Welterweight,6.08,170,75,32,8,1,0
Ray Rodriguez,Bantamweight,5.58,135,69,31,15,5,0
Nick Roehrick,Light Heavyweight,6.17,205,75,32,7,1,0
Marcos Rogerio de Lima,Light Heavyweight,6.08,253,75,34,16,7,1
Brett Rogers,Heavyweight,6.42,265,81,38,11,4,0
Shane Roller,Lightweight,5.83,155,72,40,11,7,0
Ricardo Romero,Light Heavyweight,6.0,205,76,41,11,3,0
Yoel Romero,Middleweight,6.0,185,73,42,13,4,0
Mara Romero Borella,Women's Flyweight,5.5,125,69,33,12,6,0
Jesse Ronson,Lightweight,5.83,155,72,33,19,8,0
George Roop,Bantamweight,6.08,135,72,37,15,13,1
Aaron Rosa,Light Heavyweight,6.33,205,78,36,17,5,0
Charles Rosa,Featherweight,5.75,145,69,33,12,3,0
Karol Rosa,Bantamweight,5.42,135,67,24,12,3,0
Jared Rosholt,Heavyweight,6.17,265,75,33,14,3,0
Ben Rothwell,Heavyweight,6.33,265,78,38,36,12,0
Khalil Rountree Jr.,Light Heavyweight,6.08,205,76,29,9,4,0
Ronda Rousey,Women's Bantamweight,5.58,135,68,32,12,2,0
Philip Rowe,Welterweight,6.25,170,80,29,6,2,0
Jairzinho Rozenstruik,Heavyweight,6.33,242,78,31,8,0,0
Mauricio Rua,Light Heavyweight,6.08,205,76,37,26,11,0
Rodolfo Rubio,Featherweight,5.42,145,66,32,12,8,1
Mike Russow,Heavyweight,6.08,255,73,43,15,3,0
Amir Sadollah,Welterweight,5.83,170,74,39,7,5,0
Frankie Saenz,Bantamweight,5.5,135,66,39,13,6,0
Saparbeg Safarov,Light Heavyweight,6.08,205,78,33,9,2,0
Tarec Saffiedine,Welterweight,5.83,170,70,33,16,7,0
Jason Saggo,Lightweight,5.92,155,71,33,12,4,0
Ovince Saint Preux,Light Heavyweight,6.25,205,80,36,24,13,0
Lukasz Sajewski,Lightweight,5.67,155,71,28,13,3,0
Augusto Sakai,Heavyweight,6.25,265,77,28,14,1,1
Alessio Sakara,Middleweight,6.0,185,72,38,19,11,0
Gokhan Saki,Light Heavyweight,6.0,205,73,36,1,2,0
Justin Salas,Lightweight,5.67,155,70,37,12,7,0
Roman Salazar,Bantamweight,5.58,135,67,31,9,4,0
Muslim Salikhov,Welterweight,5.92,170,70,35,15,2,0
Boston Salmon,Bantamweight,5.75,135,69,28,6,3,0
John Salter,Middleweight,6.08,185,74,34,8,2,0
Josh Samman,Middleweight,6.25,185,79,31,12,5,0
Joshua Sampo,Flyweight,5.33,125,64,35,11,5,0
Diego Sanchez,Welterweight,5.83,170,72,37,31,12,0
Eddie Sanchez,Heavyweight,6.17,230,74,36,13,5,0
Joby Sanchez,Flyweight,5.5,135,68,28,11,4,0
Andrew Sanchez,Middleweight,6.08,185,74,31,12,5,0
Roberto Sanchez,Flyweight,5.5,125,66,33,8,2,0
Luke Sanders,Bantamweight,5.5,135,67,33,13,3,0
Jerrod Sanders,Bantamweight,5.67,135,72,40,15,3,0
Cory Sandhagen,Bantamweight,5.92,135,70,27,12,1,0
Hector Sandoval,Flyweight,5.17,125,64,33,14,4,0
Roldan Sangcha-an,Flyweight,5.33,125,65,28,4,2,0
Duda Santana,Women's Bantamweight,5.58,145,73,23,3,1,0
Jorge Santiago,Middleweight,6.08,170,74,39,25,11,0
Mike Santiago,Featherweight,5.83,145,69,30,21,12,0
Richie Santiago,Bantamweight,5.58,135,67,27,7,1,0
Evangelista Santos,Welterweight,5.83,170,76,41,18,15,0
Iliarde Santos,Flyweight,5.42,125,66,39,27,9,1
Leonardo Santos,Lightweight,6.0,155,75,39,17,4,1
Thiago Santos,Light Heavyweight,6.17,205,76,35,21,7,0
Bruno Santos,Middleweight,5.75,185,69,32,14,2,0
Taila Santos,Women's Flyweight,5.42,125,68,26,15,1,0
Daniel Sarafian,Middleweight,5.75,185,73,37,10,6,0
Ulka Sasaki,Flyweight,5.83,125,71,30,21,6,2
Paul Sass,Lightweight,6.0,155,73,31,13,2,0
Takenori Sato,Welterweight,5.83,170,71,34,17,10,7
Takashi Sato,Welterweight,5.83,170,73,29,15,3,0
Ben Saunders,Welterweight,6.17,170,77,36,22,12,2
Matt Sayles,Featherweight,5.58,145,68,25,8,2,0
Eric Schafer,Light Heavyweight,6.25,185,75,42,14,7,2
Brendan Schaub,Heavyweight,6.33,245,78,36,11,5,0
Pat Schilling,Featherweight,5.67,145,69,31,5,2,0
Matt Schnell,Flyweight,5.67,125,70,29,14,4,0
Justin Scoggins,Flyweight,5.58,125,66,27,11,5,0
Bradley Scott,Welterweight,6.08,170,76,30,12,6,0
Neil Seery,Flyweight,5.33,125,64,40,16,13,0
Stefan Sekulic,Welterweight,6.0,170,75,27,12,3,0
Pete Sell,Welterweight,5.92,170,75,37,9,5,0
Mackens Semerzier,Featherweight,5.75,145,72,38,8,4,0
Alex Serdyukov,Welterweight,6.17,170,74,39,8,5,0
Matt Serra,Welterweight,5.5,170,68,45,11,7,0
Fredy Serrano,Flyweight,5.25,125,65,40,3,2,0
Rosi Sexton,Women's Bantamweight,5.25,135,63,42,13,4,0
Edmen Shahbazyan,Middleweight,6.17,185,74,21,10,0,0
Leon Shahbazyan,Welterweight,6.33,170,74,23,7,1,0
Kamal Shalorus,Lightweight,5.67,155,68,47,7,3,2
Ken Shamrock,Heavyweight,6.08,205,72,55,28,16,2
Eric Shelton,Flyweight,5.5,125,68,28,12,6,0
Sean Sherk,Lightweight,5.5,155,67,46,36,4,1
Chase Sherman,Heavyweight,6.33,250,78,29,11,6,0
Valentina Shevchenko,Women's Flyweight,5.42,125,66,31,18,3,0
Antonina Shevchenko,Women's Flyweight,5.67,125,67,34,8,1,0
Jake Shields,Welterweight,6.0,170,72,40,29,7,1
Shunichi Shimizu,Bantamweight,5.42,135,66,34,28,9,10
Josh Shockley,Lightweight,6.08,155,74,29,11,4,0
Jack Shore,Bantamweight,5.67,135,71,24,12,0,0
Ivan Shtyrkov,Light Heavyweight,6.0,205,74,31,16,0,1
Sam Sicilia,Featherweight,5.67,145,67,33,15,8,0
Steven Siler,Featherweight,5.92,145,70,32,23,13,0
Anderson Silva,Middleweight,6.17,185,77,44,34,10,0
Wanderlei Silva,Light Heavyweight,5.92,205,74,43,35,12,1
Thiago Silva,Light Heavyweight,6.17,205,74,36,16,3,0
Antonio Silva,Heavyweight,6.33,264,80,40,19,10,1
Erick Silva,Welterweight,6.0,170,74,35,19,9,0
Leandro Silva,Welterweight,5.75,155,72,33,19,4,1
Wagner Silva,Welterweight,6.0,170,71,32,3,3,0
Joaquim Silva,Lightweight,5.67,155,69,30,11,3,0
Felipe Silva,Lightweight,6.0,155,77,35,8,2,0
Bruno Silva,Bantamweight,5.33,135,65,29,11,4,1
Gabriel Silva,Bantamweight,5.5,135,71,25,7,1,0
Douglas Silva de Andrade,Bantamweight,5.58,135,68,34,25,3,0
Elias Silverio,Lightweight,5.92,155,73,33,11,2,0
Ricky Simon,Bantamweight,5.5,135,69,27,15,2,0
Aaron Simpson,Welterweight,6.0,170,73,45,11,4,0
Tony Sims,Lightweight,5.92,155,70,34,12,4,0
Everett Sims,Heavyweight,6.42,260,77,31,4,1,0
Rory Singer,Middleweight,6.17,185,77,43,11,9,0
Elvis Sinosic,Middleweight,6.25,205,77,48,7,11,2
Dennis Siver,Featherweight,5.5,145,70,40,23,11,0
Chas Skelly,Featherweight,5.92,145,72,34,18,4,0
Scott Smith,Middleweight,6.0,185,70,40,17,9,0
Trevor Smith,Middleweight,6.25,185,75,38,15,9,0
Anthony Smith,Middleweight,6.33,205,76,31,32,14,0
Colton Smith,Lightweight,6.0,155,71,32,6,4,0
Gilbert Smith,Middleweight,5.75,185,75,38,5,2,0
Leslie Smith,Women's Bantamweight,5.75,135,66,37,10,7,1
Devonte Smith,Lightweight,5.75,155,76,26,10,2,0
Cole Smith,Bantamweight,5.92,135,67,30,7,1,0
Dmitrii Smoliakov,Heavyweight,6.17,253,74,37,9,3,0
Louis Smolka,Bantamweight,5.75,135,68,28,16,6,0
Richie Smullen,Lightweight,5.75,155,68,28,3,1,1
Devin Smyth,Welterweight,5.83,170,72,24,9,1,0
Peter Sobotta,Welterweight,6.0,170,75,32,17,6,1
Renato Sobral,Light Heavyweight,6.08,205,75,44,36,9,0
Rameau Thierry Sokoudjou,Light Heavyweight,5.83,205,78,35,12,10,0
Joseph Solecki,Lightweight,5.75,155,71,26,7,2,0
Kenan Song,Welterweight,6.0,170,71,29,15,5,0
Chael Sonnen,Middleweight,6.08,205,74,42,29,14,1
Jinsoo Son,Bantamweight,5.5,135,69,26,9,4,0
Sean Soriano,Featherweight,5.75,145,70,30,8,3,0
Punahele Soriano,Middleweight,5.92,185,72,26,5,0,0
Dmitry Sosnovskiy,Heavyweight,6.25,240,77,30,11,0,0
Ben Sosoli,Heavyweight,5.75,265,72,29,7,2,0
Krzysztof Soszynski,Light Heavyweight,6.08,205,77,42,26,12,1
George Sotiropoulos,Lightweight,5.83,155,71,42,14,6,0
Greg Soto,Welterweight,5.92,170,73,33,8,2,0
Alex Soto,Bantamweight,5.67,135,71,35,6,2,1
Joe Soto,Bantamweight,5.5,135,65,32,18,7,0
Andre Soukhamthath,Bantamweight,5.75,135,70,31,13,8,0
Jacare Souza,Middleweight,6.08,185,72,39,26,7,0
Kevin Souza,Featherweight,6.0,145,74,35,19,4,0
Livinha Souza,Women's Strawweight,5.25,115,63,28,13,2,0
Ryan Spann,Light Heavyweight,6.42,205,79,28,17,5,0
Tommy Speer,Welterweight,5.83,170,71,35,19,5,0
Sean Spencer,Welterweight,5.83,170,75,32,12,6,0
Felicia Spencer,Women's Featherweight,5.5,145,68,28,7,1,0
Eric Spicely,Middleweight,6.08,185,73,33,12,6,0
Daniel Spitz,Heavyweight,6.58,245,82,29,6,3,0
Serghei Spivac,Heavyweight,6.25,260,78,24,10,1,0
Daniel Spohn,Light Heavyweight,6.33,205,79,35,15,6,0
Austin Springer,Featherweight,5.67,145,71,32,10,3,0
Georges St-Pierre,Welterweight,5.92,185,76,38,26,2,0
Andreas Stahl,Welterweight,5.92,170,73,31,9,2,0
Ron Stallings,Middleweight,6.17,170,75,36,13,8,0
Cody Stamann,Bantamweight,5.5,135,64,29,18,2,0
Cristina Stanciu,Women's Strawweight,5.25,115,64,25,5,2,0
Brian Stann,Middleweight,6.08,205,74,39,12,6,0
Josh Stansbury,Light Heavyweight,6.17,205,74,34,8,5,0
Clifford Starks,Middleweight,6.0,185,77,38,8,2,0
Kalib Starnes,Middleweight,6.25,185,74,44,12,7,1
Laureano Staropoli,Welterweight,6.08,170,71,26,9,1,0
Damian Stasiak,Bantamweight,5.42,135,70,29,10,6,0
Dominique Steele,Welterweight,5.83,170,74,31,14,9,0
Ricky Steele,Bantamweight,5.75,135,74,31,5,0,0
Steve Steinbeiss,Middleweight,6.25,185,75,38,7,4,0
Jeremy Stephens,Featherweight,5.75,145,71,33,28,17,0
Aljamain Sterling,Bantamweight,5.58,135,71,30,18,3,0
Joe Stevenson,Featherweight,5.58,145,70,37,31,14,0
Maia Stevenson,Women's Strawweight,5.33,115,62,37,6,5,0
Darren Stewart,Middleweight,6.0,185,74,28,11,4,0
Kyle Stewart,Welterweight,6.0,170,76,30,11,3,0
Lazar Stojadinovic,Featherweight,5.58,145,68,30,12,5,0
Julija Stoliarenko,Women's Featherweight,5.58,145,66,26,4,4,1
Ken Stone,Bantamweight,5.67,135,71,37,11,4,0
Rick Story,Welterweight,5.75,170,71,35,19,9,0
Darko Stosic,Light Heavyweight,6.0,205,76,27,13,3,0
Sam Stout,Lightweight,5.75,155,70,35,21,12,1
Sean Strickland,Welterweight,6.08,170,76,28,20,3,0
Hans Stringer,Light Heavyweight,6.25,205,73,32,22,7,3
Stefan Struve,Heavyweight,6.92,265,84,31,33,11,0
Mike Stumpf,Welterweight,5.83,170,71,33,11,4,0
Tatiana Suarez,Women's Strawweight,5.42,115,66,28,9,0,0
George Sullivan,Welterweight,6.0,170,73,38,17,7,0
Justin Sumter,Middleweight,6.17,185,80,29,7,2,0
Martin Svensson,Lightweight,6.08,155,72,34,14,6,0
Cub Swanson,Featherweight,5.67,145,70,35,26,11,0
Mike Swick,Welterweight,6.08,170,77,40,15,6,0
Bentley Syler,Flyweight,5.33,125,68,36,5,1,0
Kevin Syler,Featherweight,5.75,145,71,26,8,0,0
Tim Sylvia,Heavyweight,6.67,265,80,43,30,7,0
Justin Tafa,Heavyweight,6.0,264,74,25,3,1,0
Khalid Taha,Featherweight,5.42,135,69,27,14,2,0
Mairbek Taisumov,Lightweight,5.75,155,73,31,27,6,0
Nordine Taleb,Welterweight,6.08,170,74,38,15,7,0
Akitoshi Tamura,Bantamweight,5.75,135,70,39,16,11,2
Issei Tamura,Bantamweight,5.42,135,63,35,7,4,0
Michinori Tanaka,Bantamweight,5.42,135,67,29,11,3,0
Evan Tanner,Middleweight,6.0,185,74,48,32,8,0
Manny Tapia,Bantamweight,5.42,135,67,38,11,4,1
Miesha Tate,Women's Bantamweight,5.5,135,65,33,18,7,0
Deividas Taurosevicius,Featherweight,5.75,145,68,42,13,5,0
Thiago Tavares,Featherweight,5.58,145,68,34,24,7,1
Brad Tavares,Middleweight,6.08,185,74,31,17,6,0
Paul Taylor,Lightweight,6.0,155,72,39,11,6,1
Jesse Taylor,Welterweight,6.0,170,73,36,33,15,0
Louis Taylor,Middleweight,5.92,185,74,40,11,3,0
Danielle Taylor,Women's Strawweight,5.0,115,60,29,9,4,0
James Te Huna,Light Heavyweight,6.17,185,75,38,18,9,0
Shawn Teed,Heavyweight,6.42,265,79,27,5,1,0
Glover Teixeira,Light Heavyweight,6.17,205,76,39,30,7,0
David Teymur,Lightweight,5.75,155,73,30,8,2,0
Daniel Teymur,Featherweight,5.42,145,69,31,7,3,0
Motonobu Tezuka,Bantamweight,5.58,135,66,32,19,6,4
Brandon Thatch,Welterweight,6.17,170,74,34,11,5,0
Elias Theodorou,Middleweight,6.08,185,75,31,17,3,0
Paulo Thiago,Welterweight,5.92,170,73,38,15,8,0
Nick Thompson,Welterweight,6.08,170,74,38,38,14,1
Oli Thompson,Heavyweight,6.08,242,75,39,9,4,0
Stephen Thompson,Welterweight,6.0,170,75,36,14,4,1
Josh Thomson,Lightweight,5.83,155,71,41,21,8,0
Simeon Thoresen,Welterweight,6.08,170,79,35,17,4,1
Gleison Tibau,Lightweight,5.83,155,71,36,40,14,0
Nolan Ticman,Flyweight,5.5,125,69,31,4,3,0
Darren Till,Welterweight,6.0,170,74,26,17,2,1
Andrew Todhunter,Middleweight,6.0,185,72,31,8,0,0
Dusko Todorovic,Middleweight,6.08,185,74,25,8,0,0
Kazuki Tokudome,Lightweight,5.92,155,73,32,12,6,1
Tyler Toner,Featherweight,5.67,145,70,36,12,3,0
Miguel Torres,Bantamweight,5.75,135,76,38,39,5,0
Tecia Torres,Women's Strawweight,5.08,115,60,30,10,5,0
Alex Torres,Featherweight,5.83,145,70,31,2,2,0
Jose Torres,Flyweight,5.33,125,65,27,8,1,0
Desmond Torres,Bantamweight,5.5,135,69,22,7,1,0
Salim Touahri,Welterweight,5.83,170,72,30,10,4,0
Dequan Townsend,Light Heavyweight,6.25,205,79,33,21,9,0
Francisco Trevino,Lightweight,5.75,155,70,37,12,2,0
Frank Trigg,Welterweight,5.75,170,71,47,21,9,0
Francisco Trinaldo,Lightweight,5.75,155,70,41,23,7,0
Michael Trizano,Featherweight,5.92,155,71,27,9,1,0
Antonio Trocoli,Light Heavyweight,6.42,205,82,28,11,3,0
Tor Troeng,Middleweight,6.17,185,77,36,16,7,1
Abel Trujillo,Lightweight,5.67,155,70,36,15,8,0
Arman Tsarukyan,Lightweight,5.58,155,72,23,14,2,0
Chris Tuchscherer,Heavyweight,6.17,258,76,44,21,4,0
Jon Tuck,Lightweight,5.92,155,73,35,10,5,0
Gavin Tucker,Featherweight,5.5,145,66,33,11,1,0
Jumabieke Tuerxun,Bantamweight,5.58,135,67,33,17,3,1
Tai Tuivasa,Heavyweight,6.17,264,75,26,10,3,0
Zubaira Tukhugov,Featherweight,5.67,145,68,28,18,4,1
Albert Tumenov,Welterweight,5.92,170,73,27,17,4,0
Ricky Turcios,Bantamweight,5.75,135,71,26,8,1,0
Wellington Turman,Middleweight,6.0,185,72,23,15,3,0
Jalin Turner,Lightweight,6.25,155,77,24,8,5,0
Austin Tweedy,Lightweight,5.75,155,68,29,10,1,0
Marcin Tybura,Heavyweight,6.25,249,78,33,17,6,0
Alberto Uda,Middleweight,6.25,185,77,35,9,2,0
Gasan Umalatov,Welterweight,5.92,170,71,37,15,5,1
Caol Uno,Lightweight,5.58,155,70,44,26,15,5
Hector Urbina,Welterweight,5.92,170,73,32,25,10,1
Elias Urbina,Middleweight,6.25,185,77,26,3,1,0
Nick Urso,Flyweight,5.5,125,66,34,10,3,0
Kamaru Usman,Welterweight,6.0,170,76,32,15,1,0
Darren Uyenoyama,Flyweight,5.5,125,64,40,8,5,0
Richie Vaculik,Flyweight,5.5,125,69,36,10,5,0
Charlie Valencia,Bantamweight,5.25,135,64,44,12,7,0
Isaac Vallie-Flagg,Lightweight,5.67,155,68,41,14,6,1
Matt Van Buren,Light Heavyweight,6.42,205,76,33,7,4,0
Brianna Van Buren,Women's Strawweight,5.0,115,62,26,9,2,0
Austin Vanderford,Welterweight,5.92,170,74,29,4,0,0
Lando Vannata,Lightweight,5.75,155,71,27,10,4,2
Paige VanZant,Women's Flyweight,5.33,115,65,25,8,4,0
Kazula Vargas,Lightweight,5.67,155,71,34,10,3,0
Jamie Varner,Lightweight,5.67,155,72,35,21,11,1
Guilherme Vasconcelos,Middleweight,6.0,185,74,33,3,2,0
Javier Vazquez,Featherweight,5.58,145,69,42,16,5,0
Manny Vazquez,Flyweight,5.83,125,72,25,11,2,0
Cain Velasquez,Heavyweight,6.08,240,77,37,14,3,0
Bojan Velickovic,Welterweight,6.0,170,76,30,15,6,1
Karlos Vemola,Middleweight,6.0,185,75,34,10,4,0
Brandon Vera,Light Heavyweight,6.25,230,76,42,12,7,0
Marlon Vera,Bantamweight,5.67,135,70,26,15,5,1
Marvin Vettori,Middleweight,6.0,185,74,26,14,4,1
Hugo Viana,Bantamweight,5.5,135,67,37,8,4,0
Polyana Viana,Women's Strawweight,5.42,115,67,27,10,4,0
James Vick,Lightweight,6.25,155,76,32,13,5,0
Milton Vieira,Featherweight,6.0,145,72,41,13,8,2
Reginaldo Vieira,Bantamweight,5.58,135,65,36,14,5,0
Ketlen Vieira,Women's Bantamweight,5.67,135,68,28,10,0,0
Rodolfo Vieira,Middleweight,6.0,185,73,30,6,0,0
Gian Villante,Light Heavyweight,6.25,205,76,34,17,11,0
Armando Villarreal,Bantamweight,5.58,135,66,30,5,1,0
Yuri Villefort,Welterweight,6.0,170,73,28,6,3,0
Marcos Vinicius,Flyweight,5.75,125,70,39,20,6,1
Brandon Visher,Bantamweight,5.5,135,68,35,13,3,0
Bobby Voelker,Welterweight,6.0,170,75,40,24,12,0
Alexander Volkanovski,Featherweight,5.5,145,71,31,20,1,0
Jacob Volkmann,Lightweight,5.75,155,71,39,15,4,0
Alexander Volkov,Heavyweight,6.58,250,80,31,30,7,0
Chris Wade,Lightweight,5.83,155,70,32,12,3,0
TJ Waldburger,Welterweight,5.92,170,75,31,16,9,0
Chase Waldon,Middleweight,6.08,185,75,33,11,2,0
Johnny Walker,Light Heavyweight,6.42,205,82,27,17,3,0
Ben Wall,Welterweight,5.83,155,73,30,7,2,1
Rodney Wallace,Light Heavyweight,5.75,205,72,37,11,4,1
Randall Wallace,Middleweight,5.92,185,73,30,15,6,0
James Wallace,Lightweight,5.83,155,69,26,9,2,0
Jimmy Wallhead,Welterweight,5.83,170,73,35,29,11,0
Richard Walsh,Welterweight,6.0,170,73,30,9,6,0
Patrick Walsh,Light Heavyweight,5.92,185,71,30,5,3,0
Sai Wang,Welterweight,6.0,170,72,33,8,5,1
Charlie Ward,Welterweight,5.92,170,73,38,3,3,0
Terrion Ware,Bantamweight,5.67,135,71,33,17,9,0
Dominic Waters,Welterweight,6.08,170,79,30,9,5,0
Michelle Waterson,Women's Strawweight,5.25,115,62,33,17,7,0
Walel Watson,Bantamweight,5.92,135,69,35,9,5,0
Tom Watson,Middleweight,6.08,185,73,37,17,9,0
Brok Weaver,Welterweight,6.0,170,73,27,14,4,0
Jonavin Webb,Welterweight,5.83,170,71,30,8,2,0
Emil Meek,Welterweight,5.92,170,74,31,9,4,1
Royston Wee,Bantamweight,5.58,135,67,32,4,1,0
Chris Weidman,Middleweight,6.17,205,78,35,14,5,0
Christian Wellisch,Heavyweight,6.17,234,77,44,8,5,0
Fabricio Werdum,Heavyweight,6.33,231,77,42,23,8,1
Sheldon Westcott,Welterweight,6.08,170,71,35,10,3,1
Coty Wheeler,Bantamweight,5.5,135,67,41,14,4,0
Alex White,Lightweight,6.0,155,71,31,13,5,0
Craig White,Welterweight,6.17,170,76,29,14,9,0
Rob Whiteford,Featherweight,5.75,145,69,36,12,4,0
Garett Whiteley,Lightweight,6.0,155,72,38,8,3,0
Emily Whitmire,Women's Strawweight,5.42,115,63,28,4,3,0
Robert Whittaker,Middleweight,6.0,185,73,28,21,5,0
Adam Wieczorek,Heavyweight,6.42,250,81,27,10,2,0
Mike Wilkinson,Featherweight,5.58,145,68,32,9,2,0
Rob Wilkinson,Middleweight,6.25,185,80,27,11,2,0
James Wilks,Welterweight,6.08,170,75,41,7,4,0
Patrick Williams,Bantamweight,5.67,135,73,38,8,6,0
Tim Williams,Middleweight,6.17,185,76,33,15,5,0
Jordan Williams,Middleweight,6.0,185,76,29,8,2,0
Cole Williams,Welterweight,6.0,170,73,35,11,2,0
Justin Willis,Heavyweight,6.08,264,78,32,8,2,0
Chris Wilson,Welterweight,6.08,170,75,42,16,8,0
Jonathan Wilson,Light Heavyweight,6.17,205,75,32,7,3,0
Matt Wiman,Lightweight,5.83,155,68,36,16,8,0
Eddie Wineland,Bantamweight,5.58,135,69,35,24,13,1
Deron Winn,Middleweight,5.5,185,70,30,6,1,0
Andre Winner,Lightweight,5.92,155,73,37,13,6,1
Keith Wisniewski,Welterweight,6.0,170,75,37,28,13,1
Nathaniel Wood,Bantamweight,5.5,135,69,26,16,3,0
Tyron Woodley,Welterweight,5.75,170,74,37,19,4,1
Sean Woodson,Featherweight,6.17,145,78,27,7,0,0
Khama Worthy,Lightweight,5.92,155,74,33,15,6,0
Jordan Wright,Middleweight,6.17,185,77,28,9,0,0
Yanan Wu,Flyweight,5.67,125,66,23,10,3,0
Song Yadong,Bantamweight,5.67,135,67,21,15,4,0
Rani Yahya,Bantamweight,5.5,135,67,35,26,10,0
Alexander Yakovlev,Lightweight,6.25,155,74,35,24,8,1
Norifumi Yamamoto,Bantamweight,5.33,135,66,42,18,6,0
Xiaonan Yan,Women's Strawweight,5.42,115,63,30,11,1,0
Petr Yan,Bantamweight,5.58,135,67,26,13,1,0
Adam Yandiev,Middleweight,5.75,185,74,31,9,1,0
Dongi Yang,Middleweight,5.83,185,71,34,13,3,0
Jianping Yang,Featherweight,5.58,145,65,30,7,4,1
Hu Yaozong,Light Heavyweight,6.25,205,72,24,3,2,0
Ashley Yoder,Women's Strawweight,5.58,115,69,32,7,4,0
Sanghoon Yoo,Lightweight,6.0,155,74,29,5,1,0
Yoshiyuki Yoshida,Welterweight,5.92,170,70,45,13,6,0
Jason Young,Featherweight,5.75,145,73,33,8,7,0
Shane Young,Featherweight,5.67,145,72,26,13,4,0
Besam Yousef,Welterweight,5.92,170,71,34,6,2,0
Sodiq Yusuff,Featherweight,5.75,145,71,26,10,1,0
Gilbert Yvel,Heavyweight,6.17,225,77,43,36,16,1
Luke Zachrich,Middleweight,6.17,185,74,37,14,4,0
Anton Zafir,Welterweight,5.92,170,72,32,7,3,0
Aiemann Zahabi,Bantamweight,5.67,135,68,31,7,2,0
Elizeu Zaleski dos Santos,Welterweight,5.92,170,73,32,21,6,0
Zach Zane,Featherweight,5.58,145,69,29,12,7,0
Roger Zapata,Welterweight,5.92,170,74,33,4,3,0
David Zawada,Welterweight,6.0,170,75,29,16,5,0
Joao Zeferino,Welterweight,5.92,170,73,33,13,6,0
Tiequan Zhang,Lightweight,5.67,155,70,41,18,4,0
Zhang Lipeng,Lightweight,5.92,155,71,29,9,9,1
Weili Zhang,Women's Strawweight,5.33,115,63,30,20,1,0
Yao Zhikui,Flyweight,5.42,125,64,28,2,5,0
Fares Ziam,Lightweight,6.08,155,75,22,10,3,0
Cat Zingano,Women's Featherweight,5.5,145,68,37,10,4,0
Allan Zuniga,Lightweight,5.58,155,70,27,13,2,0
Virgil Zwicker,Light Heavyweight,6.17,205,74,37,14,4,1
